author,text,likes,published_at,cleaned,length,emojis,polarity,subjectivity,sentiment,hour,day_of_week,month
@rstargaming112,❤️🧡,0,2022-08-12 04:06:12,,3,"['❤', '🧡']",0.0,0.0,Neutral,4,4,8
@Ashvin_bakore.,Plz invite India team plz<br>🥺🥺,1,2021-11-27 12:29:34,Plz invite India team plzbr,31,"['🥺', '🥺']",0.0,0.0,Neutral,12,5,11
@RajaKumar-rh9uv,💛💛,0,2024-09-29 07:47:39,,2,"['💛', '💛']",0.0,0.0,Neutral,7,6,9
@vrajshah2478,BGIS winner to PMGC??,0,2021-11-30 05:28:07,BGIS winner to PMGC,21,[],0.0,0.0,Neutral,5,1,11
@rahulborah2884,Live 🙏,0,2021-11-27 12:21:23,Live,6,['🙏'],0.13636363636363635,0.5,Positive,12,5,11
@BlessingGlacierClutchGod,😵‍💫😵‍💫😵‍💫,0,2024-02-02 17:41:21,,9,"['😵', '💫', '😵', '💫', '😵', '💫']",0.0,0.0,Neutral,17,4,2
@Bollywoodstudio10,Meanwhile pmgc slot?,0,2021-11-28 12:48:38,Meanwhile pmgc slot,20,[],0.0,0.0,Neutral,12,6,11
@SavageKadita,❤️,0,2021-12-01 10:15:21,,2,['❤'],0.0,0.0,Neutral,10,2,12
@facttron3599,Please lunch PUBG mobile global in India,0,2021-11-27 16:22:41,Please lunch PUBG mobile global in India,40,[],0.0,0.0,Neutral,16,5,11
@riyazriyaz1915,❤️,0,2021-12-01 06:05:15,,2,['❤'],0.0,0.0,Neutral,6,2,12
@crypto9313,"<a href=""http://www.youtube.com/results?search_query=%23pmgc2021"">#PMGC2021</a>",0,2021-11-30 13:46:29,a href,79,[],0.0,0.0,Neutral,13,1,11
@akshay4449,"<a href=""http://www.youtube.com/results?search_query=%23pmgc2021"">#PMGC2021</a>",0,2021-11-30 10:44:02,a href,79,[],0.0,0.0,Neutral,10,1,11
@nomeus2556,THAT&#39;S JONAPAN🤣🤣 THE TRUE CLOWN PLAYER🤡🤡🤡🤡🤡,0,2021-11-30 13:59:56,THAT JONAPAN THE TRUE CLOWN PLAYER,47,"['🤣', '🤣', '🤡', '🤡', '🤡', '🤡', '🤡']",0.35,0.65,Positive,13,1,11
@MahaVickGaming,Why not come back PUBG MOBILE LITE why,0,2024-12-21 04:05:58,Why not come back PUBG MOBILE LITE why,38,[],0.0,0.0,Neutral,4,5,12
@brandonisburied,please have indian team in pmgc 🥺<br>Chinese teams are there why not them,0,2021-11-27 12:34:37,please have indian team in pmgc brChinese teams are there why not them,73,['🥺'],0.0,0.0,Neutral,12,5,11
@OkOk-wj7zk,Neded TX @Pubg Mobile eSports OLD OR is at #2 almost at #1,0,2021-12-01 05:20:50,Neded TX Mobile eSports OLD OR is at almost at,58,[],0.1,0.2,Neutral,5,2,12
@mineshpatel6348,👍👍👍,0,2021-11-28 13:40:43,,3,"['👍', '👍', '👍']",0.0,0.0,Neutral,13,6,11
@ssfurqanyt3577,😂🤣🤣🤣,2,2024-09-30 23:08:52,,4,"['😂', '🤣', '🤣', '🤣']",0.0,0.0,Neutral,23,0,9
@arthens8167,EU JA VI ISSO EM ALGUM LUGAR KKK,0,2021-11-27 19:07:32,EU JA VI ISSO EM ALGUM LUGAR KKK,32,[],0.0,0.0,Neutral,19,5,11
@carlo-1,👏🏼👏🏼👏🏼,0,2022-01-19 03:01:14,,6,"['👏', '🏼', '👏', '🏼', '👏', '🏼']",0.0,0.0,Neutral,3,2,1
@tanish3403,"What about the slot 😢,?",0,2021-11-27 15:50:53,What about the slot,23,['😢'],0.0,0.0,Neutral,15,5,11
@AshishKumar-ok4uy,No they don&#39;t deserve pmgc slot,0,2021-11-27 11:32:03,No they don deserve pmgc slot,35,[],0.0,0.0,Neutral,11,5,11
@invadrxsmokie4119,❤️,0,2021-12-01 15:10:56,,2,['❤'],0.0,0.0,Neutral,15,2,12
@itsspstyle1456,😎😎😎🤫,0,2021-11-30 16:31:27,,4,"['😎', '😎', '😎', '🤫']",0.0,0.0,Neutral,16,1,11
@habibi3603,@JONTHANGAMING,0,2022-08-15 06:01:13,,14,[],0.0,0.0,Neutral,6,0,8
@dopexd,❤,0,2024-08-21 18:13:13,,1,['❤'],0.0,0.0,Neutral,18,2,8
@bal_manila_,❤,0,2024-09-18 23:27:12,,1,['❤'],0.0,0.0,Neutral,23,2,9
@salim6482,Invite GodLike to PMGC,0,2021-11-27 13:40:34,Invite GodLike to PMGC,22,[],0.0,0.0,Neutral,13,5,11
@darkmoon2221,❤,0,2025-07-29 08:00:48,,1,['❤'],0.0,0.0,Neutral,8,1,7
@god2-r8z,❤,0,2024-06-17 14:03:40,,1,['❤'],0.0,0.0,Neutral,14,0,6
@microgaming1069,😮,0,2024-02-09 08:48:09,,1,['😮'],0.0,0.0,Neutral,8,4,2
@amannn9248,2025 ❤,0,2025-12-01 19:50:06,2025,6,['❤'],0.0,0.0,Neutral,19,0,12
@pawarsharad3856,😎😎😎😎😎😎😎,0,2021-12-01 08:08:01,,7,"['😎', '😎', '😎', '😎', '😎', '😎', '😎']",0.0,0.0,Neutral,8,2,12
@anubhavsharma3817,Who&#39;s watching in 2025 ?💀,1,2025-09-15 13:18:07,Who watching in 2025,29,['💀'],0.0,0.0,Neutral,13,0,9
@Synapse11-g8v,Invite  Indian player in global tournament  .,0,2021-11-27 13:37:43,Invite Indian player in global tournament,45,[],0.0,0.0,Neutral,13,5,11
@god_x_piyush6752,🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,0,2021-11-29 14:54:07,,18,[],0.0,0.0,Neutral,14,0,11
@gamingsamop2709,19 20 ka to farq hai,0,2024-01-31 16:40:33,19 20 ka to farq hai,20,[],0.0,0.0,Neutral,16,2,1
@Sidkko,2024 💛💛💛,0,2024-02-04 13:12:05,2024,8,"['💛', '💛', '💛']",0.0,0.0,Neutral,13,6,2
@gauravmishra7158,Gg,0,2022-08-15 23:53:30,Gg,2,[],0.0,0.0,Neutral,23,0,8
@godlaburidhiwan4081,Hint or wot,0,2021-11-30 18:27:27,Hint or wot,11,[],0.0,0.0,Neutral,18,1,11
@GODL_MAXx,Anyone here in 2024🐐💛,0,2024-09-30 09:17:24,Anyone here in 2024,21,"['🐐', '💛']",0.0,0.0,Neutral,9,0,9
@truth9197,This is Global Championship not local BGMI championship. Indian team will get bullied and dusted at PMGC finals and thats a fact!,0,2021-12-21 11:51:54,This is Global Championship not local BGMI championship Indian team will get bullied and dusted at PMGC finals and thats a fact,129,[],0.0,0.0,Neutral,11,1,12
